tmdb_id,title,original_title,overview,first_air_date,last_air_date,status,seasons,episodes,average_runtime,genres,country,language,network,production,rating,vote_count,popularity,main_cast,keywords,poster_path,backdrop_path
128854,사랑은 이런거야,사랑은 이런거야,It is a drama that gets the sympathy of an unspecified number of people and satisfies their needs.,2001-10-29,2002-06-25,Returning Series,1,172.0,,Drama,KR,ko,KBS1,KBS,0.0,0,63.2927,"Lee Chang-hoon, Choi Kang-hee, Yoon Hae-young",,,
93405,Squid Game,오징어 게임,"Hundreds of cash-strapped players accept a strange invitation to compete in children's games. Inside, a tempting prize awaits — with deadly high stakes.",2021-09-17,2024-12-26,Returning Series,3,22.0,,"Action & Adventure, Mystery, Drama",KR,ko,Netflix,"Siren Pictures, Firstman Studio",7.9,15824,64.2948,"Lee Jung-jae, Wi Ha-jun, Lee Byung-hun","secret organization, challenge, survival, fictional game show, cruelty, game, death match, nostalgic, prize, desperate, anxious, suspense, death game, thriller, disdainful, frightened",https://image.tmdb.org/t/p/original/1QdXdRYfktUSONkl1oD5gc6Be0s.jpg,https://image.tmdb.org/t/p/original/2meX1nMdScFOoV4370rqHWKmXhY.jpg
200709,Weak Hero,약한영웅,"With the aid of unexpected friends, a gifted but introverted student confronts bullies and violent foes — unaware of how dangerous his world will become.",2022-11-18,2025-04-25,Returning Series,2,16.0,41.0,"Action & Adventure, Drama",KR,ko,"Netflix, wavve","Playlist Studio, Studio Wavve, SHOTCAKE",8.507,227,48.5727,"Park Ji-hoon, Ryeoun, Choi Min-yeong","fight, male friendship, friendship, bullying, gang, bromance, high school student, skilled fighter, based on webcomic or webtoon, youth, school bullying, violence, thriller, gay subtext, weak hero (2022)",https://image.tmdb.org/t/p/original/xRw3akJQdfgqx0x4fiHW7nIkEUJ.jpg,https://image.tmdb.org/t/p/original/cLTAda6fMRirkCY1xfO4pmcHVkk.jpg
18495,Nonstop,논스톱,"Nonstop is a South Korean slice-of-life sitcom that broadcast its first season in 2000 on MBC. It continued with 5 more seasons. The series was popular for its cast of teen idols, many who debuted through the show..",2000-05-15,2005-12-16,Ended,6,1320.0,25.0,"Drama, Comedy",KR,ko,MBC,MBC,4.4,5,45.5735,"Lim Eun-kyung, Park Hee-jin, Lee Sang-mi",,https://image.tmdb.org/t/p/original/elXJzhz1dM0lO7fK2BfO2pVtC7l.jpg,https://image.tmdb.org/t/p/original/6HBi1vfb70PfeTx78BKv2md42mm.jpg
227191,Nine Puzzles,나인 퍼즐,"Ten years after discovering her murdered uncle, Ena and Detective Hansaem must cooperate to stop a series of similar murders - each linked by strange puzzle pieces.",2025-05-21,2025-05-28,Returning Series,1,11.0,,"Crime, Mystery, Drama",KR,ko,Disney+,"Kakao Entertainment, Moonlight Film",6.6,8,47.482,"Kim Da-mi, Son Suk-ku, Kim Sung-kyun",police profiling,https://image.tmdb.org/t/p/original/eQWEWCOg5LZLu2AihfMueiHGw1Y.jpg,https://image.tmdb.org/t/p/original/tJSAxxjCtbtZYMBQkfxvdgqXsz5.jpg
219246,When Life Gives You Tangerines,폭싹 속았수다,"In Jeju, a spirited girl and a steadfast boy's island story blossoms into a lifelong tale of setbacks and triumphs — proving love endures across time.",2025-03-07,2025-03-28,Ended,1,16.0,,Drama,KR,ko,Netflix,"Pan Entertainment, Baram Pictures",8.883,290,39.3344,"IU, Park Bo-gum, Moon So-ri","melancholy, poet, romance, family relationships, couple, first love, jeju island, bittersweet, amused",https://image.tmdb.org/t/p/original/q29q6AByug53pnylCytwLA7m6AY.jpg,https://image.tmdb.org/t/p/original/5yk3QwnQxzwKfhU1tlDkV2PSIBz.jpg
24633,Story of a Mermaid,인어아가씨,《인어 아가씨》는 MBC에서 2002년 6월 24일부터 2003년 6월 27일까지 246부작으로 방영되었던 드라마이다.,2002-06-24,2003-06-27,Ended,1,246.0,45.0,"Drama, Family",KR,ko,MBC,MBC,5.0,9,35.5585,"Jang Seo-hee, Woo Hee-jin, Kim Sung-min",betrayal,https://image.tmdb.org/t/p/original/6fGAljQDfHDbYNKSAkUZ5RQVYLJ.jpg,https://image.tmdb.org/t/p/original/j95mWCXaJrVnFKbeTF0YupMrV0N.jpg
112888,True Beauty,여신강림,"Lim Ju-kyung is a high school student. Since she was little, she has had a complex about her appearance. To hide her bare face, Ju-kyung always wears make-up. Her excellent make-up skills make her pretty and she hides her bare face in front of others. She gets involved with 2 men; Lee Su-ho and Han Seo-jun.",2020-12-09,2021-02-04,Ended,1,16.0,,"Comedy, Drama",KR,ko,tvN,"Bon Factory, Studio N, Studio Dragon",8.278,2368,40.4604,"Mun Ka-young, Cha Eun-woo, Hwang In-yeop","beauty, high school, romance, insecurity, makeover, hidden identity, beauty standards, based on webcomic or webtoon, secret, popular boy, comforting",https://image.tmdb.org/t/p/original/sld43SJArZqlnANJabq8R5wdOZk.jpg,https://image.tmdb.org/t/p/original/A9OMk9nybfRQUX7ds8rpd4lmdaE.jpg
24261,결혼의 법칙,결혼의 법칙,"《결혼의 법칙》은 2001년 4월 23일부터 2001년 10월 21일까지 문화방송에서 매주 월,금 밤 20시 20분에 방영되었던 일일연속극이다.",2001-04-23,2001-11-02,Ended,1,136.0,80.0,Drama,KR,ko,MBC,,0.0,0,40.624,"Oh Yeon-soo, Son Hyun-joo, Park Sang-ah",romance,https://image.tmdb.org/t/p/original/dX5GWx6YJU83ACi0c9FL4KMsxKz.jpg,
235329,애자언니민자,애자언니민자,,2008-04-21,2008-10-31,Ended,1,140.0,,Drama,KR,ko,SBS,,0.0,0,32.8238,"Cha Hwa-yeon, Lee Eung-kyung, So I-hyeon",,https://image.tmdb.org/t/p/original/ntJzTJFef037NUU2tlBNuTsyDJR.jpg,https://image.tmdb.org/t/p/original/t2f2RNv5uh3v6Jk0j1EAfzkcxV1.jpg
